36,1,71,36
16,36,66,86
251,1,304,36
11,51,46,86
16,101,51,136
11,1,61,51
41,26,76,61
21,21,96,71
31,11,101,46
11,1,64,36
41,36,76,71
1,36,54,71
211,76,311,126
101,96,277,166
121,56,191,91
246,126,299,161
111,156,146,191
196,91,271,141
256,111,291,146
11,136,152,206
141,36,241,136
86,76,211,126
101,16,207,51
96,106,308,176
56,91,232,161
176,131,246,201
131,76,281,176
31,96,207,166
116,106,204,141
136,166,171,201
136,116,261,166
131,16,231,116
116,51,204,86
106,36,206,86
226,46,301,96
66,126,278,196
171,116,312,186
131,106,181,156
81,151,187,186
216,156,251,191
11,141,152,211
41,146,76,181
141,101,241,151
251,131,301,181
56,161,126,196
161,61,211,111
181,141,287,176
61,71,114,106
51,86,201,136
166,101,254,136
