186,76,261,126
136,121,261,171
241,101,316,151
96,96,272,166
51,56,301,156
71,171,141,206
126,116,196,186
141,176,211,211
81,141,206,191
81,106,231,156
161,51,302,192
41,11,253,81
1,136,107,206
21,141,56,176
11,46,117,81
121,91,156,126
216,6,286,41
151,156,186,191
16,86,157,156
146,86,271,136
66,46,278,116
26,1,151,51
206,1,294,36
186,46,292,81
56,21,144,56
41,1,191,101
56,21,306,121
91,46,303,187
56,51,268,121
226,11,296,81
161,11,231,46
121,11,246,61
111,71,252,212
81,26,131,76
11,36,223,106
86,116,211,166
176,126,246,196
81,116,151,186
31,51,243,121
116,111,186,146
231,56,301,126
31,61,243,202
51,26,263,96
106,41,176,76
151,66,301,116
126,41,196,76
226,131,279,166
186,116,236,166
191,126,261,161
216,91,304,126
101,71,207,141
91,56,144,91
166,106,272,141
81,61,156,111
141,61,291,111
86,86,186,136
236,66,289,101
96,71,308,141
6,46,218,116
21,56,221,156
171,16,221,66
216,161,251,196
6,131,112,166
176,91,282,126
111,46,261,96
126,96,302,166
101,161,154,196
141,116,247,186
61,61,161,111
11,151,136,201
171,61,277,96
196,61,231,96
16,36,157,106
21,26,109,61
181,171,251,206
166,111,316,211
131,81,256,131
86,111,211,161
166,61,272,96
121,11,156,46
16,66,228,207
21,26,197,96
81,106,116,141
26,91,114,126
151,36,292,106
46,156,196,206
81,111,134,146
131,81,231,131
146,11,196,61
51,111,157,181
56,41,156,91
66,136,119,171
166,151,201,186
131,71,231,121
16,156,122,191
131,91,256,141
126,101,176,151
101,141,242,211
211,1,264,36
66,41,242,111
31,161,156,211
131,11,237,46
226,116,296,186
16,141,122,211
226,36,314,71
136,111,312,181
81,36,187,106
6,61,256,161
71,16,146,66
226,151,301,201
6,1,156,101
81,116,257,186
31,16,243,86
56,81,144,116
116,41,186,76
96,76,246,126
96,26,237,96
46,46,96,96
11,66,223,207
71,56,146,106
81,26,181,126
6,81,106,181
76,121,129,156
31,101,207,171
46,81,116,151
96,31,131,66
56,111,206,161
141,1,247,71
226,21,279,56
36,141,106,211
211,16,311,66
106,56,159,91
196,151,266,186
76,36,176,86
131,131,181,181
51,26,192,167
41,11,291,111
61,61,167,131
246,71,316,141
56,156,109,191
221,76,309,111
161,21,196,56
156,76,206,126
21,141,162,211
26,61,276,161
96,76,202,111
156,26,206,76
146,11,246,111
76,156,201,206
96,61,237,131
86,96,161,146
171,126,312,196
26,156,126,206
46,86,116,121
191,61,241,111
116,56,216,106
71,141,247,211
96,36,246,136
91,71,144,106
16,6,141,56
56,101,197,171
206,111,281,161
66,96,191,146
101,131,189,166
246,116,299,151
136,16,312,86
211,91,317,161
56,161,162,196
171,101,246,151
141,41,266,91
111,56,261,156
186,51,292,86
141,41,282,182
251,146,304,181
151,131,257,201
186,151,221,186
186,21,274,56
16,36,104,71
171,111,221,161
176,121,276,171
171,111,277,146
76,31,288,172
181,6,216,41
86,106,139,141
56,16,106,66
131,16,256,66
126,46,226,146
186,146,311,196
96,51,308,121
1,161,126,211
111,26,252,167
246,71,299,106
171,56,241,126
166,36,316,86
36,11,136,61
191,146,226,181
51,21,121,56
246,106,281,141
6,1,131,51
126,111,226,161
211,96,261,146
101,16,136,51
91,111,291,211
16,71,266,171
76,11,276,211
196,66,284,101
21,141,96,191
236,121,289,156
161,161,311,211
51,11,151,111
96,1,196,101
11,56,86,106
181,11,287,46
226,76,314,111
116,56,186,91
101,76,251,176
61,176,114,211
11,31,152,172
1,1,213,142
161,6,261,106
61,136,111,186
26,116,151,166
81,41,156,91
81,76,116,111
86,101,211,151
106,171,141,206
51,81,104,116
6,126,76,161
156,141,231,191
121,36,209,71
91,96,241,196
146,156,296,206
191,141,226,176
31,16,131,66
86,171,121,206
131,1,219,36
51,131,157,201
146,41,216,76
76,31,182,66
61,176,131,211
101,61,171,96
146,126,271,176
51,51,151,101
26,21,126,71
171,166,277,201
1,51,177,121
76,61,129,96
31,56,101,126
1,76,301,176
156,116,191,151
101,26,313,167
66,176,172,211
121,161,271,211
81,131,134,166
51,11,251,211
156,96,256,146
176,126,211,161
226,126,301,176
146,146,216,181
71,161,141,196
121,71,227,141
196,106,266,141
1,61,177,131
156,1,262,36
101,166,189,201
171,126,271,176
26,26,226,126
231,141,306,191
51,16,192,157
241,106,311,141
16,131,157,201
36,26,161,76
21,1,221,101
21,111,127,181
106,21,206,121
81,176,116,211
36,146,89,181
176,131,246,201
186,91,274,126
26,76,276,176
111,86,211,136
46,101,196,201
41,1,129,36
36,16,186,116
161,116,302,186
36,171,89,206
71,31,177,101
46,121,116,191
191,36,291,136
86,141,121,176
26,6,114,41
36,41,136,91
1,116,71,186
106,86,194,121
46,116,258,186
161,116,196,151
46,81,187,151
226,51,314,86
136,96,261,146
1,1,283,142
111,66,252,207
176,51,282,121
21,71,221,171
96,1,221,51
91,56,126,91
6,111,182,181
111,171,199,206
156,116,256,166
86,66,192,101
96,76,166,111
156,111,306,161
121,56,262,126
46,156,96,206
121,21,297,91
101,126,154,161
36,71,106,141
136,131,211,181
126,81,226,181
191,111,297,181
161,136,214,171
136,6,261,56
76,21,176,71
16,11,228,152
36,1,136,51
181,31,251,101
201,26,307,61
116,91,166,141
81,1,151,36
111,136,252,206
201,96,307,131
6,146,94,181
26,111,114,146
136,21,171,56
186,86,311,136
211,141,317,176
91,1,232,142
96,46,296,146
131,136,256,186
11,6,111,56
121,31,209,66
166,126,236,161
191,156,266,206
76,131,111,166
121,106,227,176
56,41,126,111
126,11,196,46
91,91,291,191
81,16,187,51
91,6,197,41
61,26,186,76
96,36,202,106
146,36,252,71
11,71,99,106
6,61,156,161
26,71,176,121
156,16,297,157
61,126,131,161
176,6,246,41
66,81,207,151
26,141,114,176
136,106,171,141
211,136,281,171
146,116,216,186
106,51,194,86
96,11,272,81
36,41,142,76
131,1,272,142
106,96,176,131
31,126,156,176
91,61,197,96
191,81,297,151
16,161,86,196
151,46,292,187
31,51,137,121
66,1,242,71
76,116,146,186
1,91,76,141
36,131,124,166
161,6,311,56
81,16,131,66
101,171,207,206
41,126,191,176
91,26,241,76
91,31,232,172
21,101,221,201
1,26,283,167
51,1,301,101
