16,76,86,111
76,136,182,206
116,31,166,81
11,1,311,201
6,136,218,206
131,121,181,171
131,71,272,212
146,116,296,166
51,101,139,136
66,21,116,71
121,61,262,202
126,51,196,86
131,106,231,206
141,46,229,81
56,21,306,121
26,106,96,141
156,46,226,116
101,86,176,136
186,36,292,106
6,51,81,101
176,131,282,166
46,46,116,81
21,36,162,106
56,111,126,146
146,71,271,121
146,101,252,136
66,116,172,151
61,146,167,181
186,76,286,176
86,51,298,192
66,6,166,106
121,91,271,141
41,161,94,196
156,1,262,71
111,101,211,201
36,36,161,86
136,96,236,146
156,81,191,116
1,16,151,116
56,61,162,96
156,21,306,71
46,71,121,121
101,46,189,81
76,131,164,166
61,6,261,106
56,66,106,116
11,26,293,167
131,106,219,141
6,121,182,191
31,56,207,126
